CustomerOrderID,CustomerID,OrderTakerID,OrderDate,CouponID
469,45,12,2025-06-20,
470,95,17,2025-07-29,9
471,42,36,2025-07-31,
472,82,31,2025-05-15,12
473,79,8,2025-08-27,10
474,57,35,2025-09-04,
475,126,14,2025-07-17,10
476,114,28,2025-07-30,13
477,23,25,2025-09-06,11
478,78,3,2025-08-11,
479,32,32,2025-09-17,
480,191,41,2025-04-25,
481,82,10,2025-04-22,
482,75,4,2025-07-08,11
483,154,7,2025-05-24,
484,57,34,2025-05-17,
485,134,41,2025-07-30,
486,33,20,2025-06-05,2
487,17,3,2025-06-11,1
488,172,12,2025-05-29,
489,91,23,2025-09-03,9
490,130,14,2025-05-03,
491,32,21,2025-05-06,
492,142,15,2025-07-30,
493,37,8,2025-04-29,
494,92,27,2025-09-19,
495,174,33,2025-04-25,3
496,126,33,2025-09-24,
497,43,49,2025-06-24,
498,176,38,2025-09-23,
499,16,21,2025-06-19,1
500,89,29,2025-05-02,
501,118,3,2025-06-30,
502,26,33,2025-05-03,
503,94,20,2025-09-12,
504,58,27,2025-09-01,
505,146,5,2025-06-16,
506,160,18,2025-07-19,
507,134,4,2025-09-15,8
508,17,21,2025-07-22,
509,125,32,2025-06-26,
510,125,50,2025-04-18,
511,94,28,2025-04-24,
512,147,8,2025-06-07,
513,128,17,2025-08-20,
514,56,29,2025-06-07,3
515,180,24,2025-08-22,
516,6,21,2025-07-11,
517,78,18,2025-07-17,14
518,9,28,2025-09-19,2
519,117,21,2025-08-26,
520,1,9,2025-09-19,
521,106,47,2025-09-07,
522,47,24,2025-07-23,
523,159,27,2025-04-20,
524,127,47,2025-08-02,12
525,56,41,2025-05-30,
526,95,16,2025-08-01,
527,25,5,2025-06-12,
528,172,42,2025-07-07,
529,87,33,2025-08-14,
530,33,3,2025-06-27,
531,196,34,2025-06-27,
532,118,33,2025-08-29,
533,70,34,2025-05-21,
534,96,27,2025-05-09,
535,169,49,2025-08-03,
536,55,9,2025-08-31,
537,6,6,2025-07-19,
538,111,33,2025-06-23,
539,69,33,2025-07-16,
540,183,47,2025-09-20,8
541,142,4,2025-08-31,1
542,101,12,2025-05-23,7
543,67,41,2025-04-28,
544,4,8,2025-07-18,8
545,33,6,2025-06-24,4
546,124,14,2025-04-14,
547,30,2,2025-07-25,3
548,107,29,2025-10-07,
549,81,39,2025-07-25,
550,186,19,2025-05-19,6
551,168,47,2025-07-23,
552,78,33,2025-07-23,9
553,41,48,2025-07-08,14
554,132,48,2025-05-16,
555,157,7,2025-05-06,
556,31,43,2025-05-20,
557,52,8,2025-05-13,
558,193,10,2025-06-09,
559,133,49,2025-04-10,
560,16,29,2025-05-20,
561,170,49,2025-09-16,
562,38,42,2025-08-21,
563,186,27,2025-07-02,
564,194,22,2025-08-19,
565,186,20,2025-06-08,
566,183,39,2025-09-03,
567,200,13,2025-09-04,
568,24,6,2025-07-22,15
569,133,38,2025-09-05,
570,33,34,2025-05-14,
571,105,41,2025-05-08,6
572,56,19,2025-06-25,12
573,156,50,2025-08-07,3
574,43,6,2025-09-20,
575,5,12,2025-08-22,4
576,126,3,2025-09-05,
577,82,35,2025-04-14,
578,47,10,2025-06-20,2
579,183,2,2025-05-24,7
580,97,18,2025-06-29,
581,61,40,2025-09-07,
582,167,38,2025-06-10,
583,138,16,2025-05-21,
584,150,14,2025-09-16,
585,111,18,2025-08-28,9
586,178,2,2025-07-01,15
587,45,47,2025-04-10,
588,46,27,2025-07-08,
589,3,30,2025-05-27,1
590,127,18,2025-04-17,
591,33,40,2025-04-24,
592,6,47,2025-05-27,
593,133,24,2025-08-12,
594,21,22,2025-05-27,
595,51,16,2025-04-27,5
596,161,40,2025-04-14,
597,159,41,2025-04-26,
598,97,3,2025-04-23,14
599,78,4,2025-07-30,
600,3,42,2025-09-23,
